user_id,device_type,region,account_age_days
user_00075,Android budget,North America,56
user_00076,Android flagship,North America,116
user_00077,Android flagship,Latin America,16
user_00078,iOS,North America,612
user_00079,Android flagship,North America,561
user_00080,Android budget,Latin America,807
user_00081,Android budget,Western Europe,943
user_00082,Android budget,North America,359
user_00083,Android budget,Latin America,323
user_00084,Android budget,Southeast Asia,364
user_00085,Android flagship,Southeast Asia,181
user_00086,Android flagship,Southeast Asia,195
user_00087,Android budget,North America,904
user_00088,Android flagship,Southeast Asia,23
user_00089,Android flagship,Western Europe,343
user_00090,Android budget,Western Europe,124
user_00091,Android flagship,Eastern Europe,105
user_00092,Android mid-range,Latin America,259
user_00093,Android mid-range,Southeast Asia,214
user_00094,iOS,Southeast Asia,130
user_00095,Android budget,North America,57
user_00096,Android budget,Southeast Asia,79
user_00097,Android mid-range,Latin America,328
user_00098,Android mid-range,Latin America,1044
user_00099,Android mid-range,Western Europe,59
user_00100,Android flagship,North America,438
user_00101,Android flagship,South Asia,181
user_00102,iOS,Western Europe,329
user_00103,iOS,Western Europe,782
user_00104,iOS,Latin America,19
user_00105,Android flagship,Western Europe,658
user_00106,Android mid-range,Latin America,143
user_00107,Android budget,North America,332
user_00108,Android budget,North America,19
user_00109,Android mid-range,Southeast Asia,332
user_00110,Android mid-range,North America,366
user_00111,Android flagship,South Asia,536
user_00112,iOS,Southeast Asia,7
user_00113,Android flagship,South Asia,46
user_00114,iOS,Latin America,26
user_00115,iOS,Southeast Asia,124
user_00116,Android budget,North America,56
user_00117,Android mid-range,North America,13
user_00118,iOS,North America,6
user_00119,Android flagship,Southeast Asia,188
user_00120,Android flagship,Southeast Asia,330
user_00121,Android budget,Western Europe,63
user_00122,Android mid-range,Western Europe,65
user_00123,iOS,Eastern Europe,273
user_00124,Android budget,Eastern Europe,30
user_00125,iOS,South Asia,348
user_00126,Android budget,Southeast Asia,300
user_00127,iOS,Western Europe,229
user_00128,Android flagship,Latin America,647
user_00129,Android budget,Western Europe,10
user_00130,iOS,Southeast Asia,666
user_00131,Android budget,Western Europe,285
user_00132,iOS,North America,610
user_00133,iOS,North America,542
user_00134,Android budget,Southeast Asia,260
user_00135,Android budget,North America,13
user_00136,iOS,North America,20
user_00137,Android flagship,South Asia,109
user_00138,Android budget,Western Europe,84
user_00139,Android budget,Latin America,23
user_00140,iOS,Eastern Europe,800
user_00141,Android mid-range,Latin America,267
user_00142,Android budget,Eastern Europe,336
user_00143,iOS,South Asia,651
user_00144,iOS,North America,118
user_00145,Android mid-range,Southeast Asia,2
user_00146,Android budget,North America,184
user_00147,Android budget,Western Europe,319
user_00148,Android budget,North America,89
user_00149,Android mid-range,Western Europe,5
user_00150,iOS,Eastern Europe,33
user_00151,Android mid-range,Southeast Asia,198
user_00152,Android budget,North America,501
user_00153,Android budget,Latin America,60
user_00154,Android flagship,Southeast Asia,22
user_00155,Android mid-range,Southeast Asia,850
user_00156,Android flagship,Eastern Europe,10
user_00157,Android budget,Western Europe,14
user_00158,Android flagship,Western Europe,519
user_00159,Android mid-range,North America,4
user_00160,Android mid-range,Eastern Europe,264
user_00161,Android flagship,North America,78
user_00162,Android flagship,Eastern Europe,34
user_00163,iOS,North America,3
user_00164,Android flagship,Latin America,1092
user_00165,Android mid-range,Eastern Europe,72
user_00166,Android mid-range,South Asia,317
user_00167,Android budget,Southeast Asia,302
user_00168,Android budget,North America,255
user_00169,Android budget,Latin America,87
user_00170,Android flagship,Western Europe,844
user_00171,Android flagship,Western Europe,25
user_00172,iOS,Latin America,152
user_00173,Android mid-range,Latin America,458
user_00174,Android budget,Western Europe,13
user_00175,Android mid-range,North America,71
user_00176,Android budget,North America,19
user_00177,iOS,Eastern Europe,28
user_00178,Android mid-range,Southeast Asia,348
user_00179,Android budget,Western Europe,14
user_00180,Android flagship,Latin America,714
user_00181,Android flagship,Latin America,17
user_00182,Android budget,North America,164
user_00183,iOS,Southeast Asia,712
user_00184,Android budget,Eastern Europe,41
user_00185,iOS,Latin America,7
user_00186,iOS,North America,35
user_00187,Android budget,South Asia,4
user_00188,iOS,Latin America,827
user_00189,Android flagship,Western Europe,419
user_00190,iOS,Western Europe,67
user_00191,Android budget,Western Europe,50
user_00192,Android mid-range,Western Europe,969
user_00193,Android budget,Latin America,100
user_00194,Android flagship,Southeast Asia,63
user_00195,iOS,Southeast Asia,133
user_00196,Android budget,South Asia,285
user_00197,Android budget,Latin America,3
user_00198,Android mid-range,Western Europe,577
user_00199,Android budget,North America,1196
user_00200,Android budget,Western Europe,232
user_00201,Android flagship,Eastern Europe,33
user_00202,Android mid-range,Latin America,1133
user_00203,Android mid-range,North America,513
user_00204,iOS,Western Europe,17
user_00205,Android flagship,North America,249
user_00206,Android mid-range,Eastern Europe,1001
user_00207,Android budget,North America,53
user_00208,iOS,Western Europe,1112
user_00209,Android flagship,Western Europe,315
user_00210,Android budget,South Asia,98
user_00211,Android budget,North America,161
user_00212,Android flagship,North America,67
user_00213,Android budget,Latin America,768
user_00214,Android flagship,Latin America,149
user_00215,Android flagship,Southeast Asia,293
user_00216,Android budget,Western Europe,1155
user_00217,Android budget,North America,16
user_00218,Android budget,Eastern Europe,880
user_00219,Android budget,Western Europe,114
user_00220,Android flagship,Latin America,21
user_00221,iOS,Western Europe,18
user_00222,Android mid-range,Western Europe,146
user_00223,Android budget,Eastern Europe,13
user_00224,Android budget,Latin America,266
user_00225,Android budget,Latin America,593
user_00226,Android flagship,Western Europe,169
user_00227,Android budget,Eastern Europe,638
user_00228,Android mid-range,Eastern Europe,980
user_00229,iOS,Western Europe,339
user_00230,Android budget,Latin America,49
user_00231,Android budget,Southeast Asia,59
user_00232,Android mid-range,Eastern Europe,45
user_00233,iOS,North America,11
user_00234,Android budget,Southeast Asia,152
user_00235,Android budget,Southeast Asia,63
user_00236,Android mid-range,Southeast Asia,11
user_00237,Android mid-range,North America,172
user_00238,iOS,Eastern Europe,598
user_00239,Android budget,North America,11
user_00240,iOS,Western Europe,6
user_00241,iOS,Southeast Asia,159
user_00242,Android budget,Western Europe,8
user_00243,iOS,Eastern Europe,4
user_00244,Android flagship,Southeast Asia,9
user_00245,Android flagship,North America,238
user_00246,Android budget,Latin America,106
user_00247,Android budget,Western Europe,18
user_00248,Android flagship,Eastern Europe,52
user_00249,Android flagship,Latin America,117
user_00250,Android flagship,Southeast Asia,51
user_00251,Android mid-range,Southeast Asia,596
user_00252,Android flagship,Western Europe,849
user_00253,Android flagship,Eastern Europe,1080
user_00254,Android flagship,North America,77
user_00255,iOS,North America,67
user_00256,Android flagship,North America,1147
user_00257,Android mid-range,Western Europe,63
user_00258,iOS,Southeast Asia,660
user_00259,iOS,Western Europe,291
user_00260,Android flagship,South Asia,447
user_00261,Android budget,Eastern Europe,55
user_00262,Android budget,North America,6
user_00263,iOS,Latin America,164
user_00264,iOS,North America,44
user_00265,iOS,Southeast Asia,810
user_00266,Android flagship,Southeast Asia,295
user_00267,iOS,Southeast Asia,40
user_00268,Android budget,Western Europe,804
user_00269,Android budget,Western Europe,9
user_00270,iOS,Southeast Asia,4
user_00271,iOS,Latin America,619
user_00272,iOS,Southeast Asia,321
user_00273,iOS,Latin America,25
user_00274,Android flagship,Southeast Asia,534
user_00275,Android budget,North America,142
user_00276,Android mid-range,South Asia,35
user_00277,Android budget,Southeast Asia,3
user_00278,Android budget,Southeast Asia,85
user_00279,Android budget,North America,11
user_00280,Android budget,Western Europe,173
user_00281,Android budget,Southeast Asia,10
user_00282,Android mid-range,North America,134
user_00283,Android budget,Southeast Asia,110
user_00284,Android flagship,Southeast Asia,342
user_00285,iOS,Western Europe,39
user_00286,Android budget,Latin America,691
user_00287,Android mid-range,South Asia,914
user_00288,iOS,Eastern Europe,532
user_00289,Android flagship,Southeast Asia,247
user_00290,Android budget,Eastern Europe,172
user_00291,Android budget,Eastern Europe,36
user_00292,iOS,North America,447
user_00293,iOS,Southeast Asia,52
user_00294,iOS,Western Europe,525
user_00295,Android budget,North America,591
user_00296,Android budget,Western Europe,913
user_00297,Android mid-range,Western Europe,876
user_00298,Android budget,North America,119
user_00299,Android mid-range,Latin America,1052
user_00300,Android mid-range,Eastern Europe,814
user_00301,Android budget,Southeast Asia,922
user_00302,iOS,Southeast Asia,2
user_00303,Android mid-range,North America,945
user_00304,Android flagship,Western Europe,597
user_00305,Android budget,Southeast Asia,157
user_00306,Android mid-range,Western Europe,291
user_00307,iOS,North America,198
user_00308,Android mid-range,Southeast Asia,34
user_00309,Android flagship,Western Europe,841
user_00310,Android budget,Southeast Asia,338
user_00311,Android budget,Southeast Asia,68
user_00312,Android flagship,Latin America,997
user_00313,Android flagship,Southeast Asia,274
user_00314,Android flagship,Latin America,98
user_00315,Android budget,North America,1151
user_00316,iOS,Latin America,153
user_00317,Android mid-range,Western Europe,1000
user_00318,Android flagship,Latin America,1196
user_00319,iOS,Eastern Europe,61
user_00320,Android budget,Southeast Asia,52
user_00321,Android budget,Southeast Asia,1185
user_00322,Android mid-range,Western Europe,8
user_00323,Android flagship,South Asia,466
user_00324,iOS,North America,290
user_00325,Android mid-range,Western Europe,813
user_00326,Android budget,Latin America,1
user_00327,iOS,Western Europe,9
user_00328,Android budget,North America,352
user_00329,Android mid-range,Latin America,698
user_00330,iOS,North America,763
user_00331,Android budget,Eastern Europe,928
user_00332,Android mid-range,North America,116
user_00333,Android flagship,Western Europe,535
user_00334,Android mid-range,North America,5
user_00335,Android budget,Eastern Europe,1030
user_00336,Android flagship,Eastern Europe,575
user_00337,Android mid-range,North America,25
user_00338,Android budget,Western Europe,91
user_00339,Android mid-range,Western Europe,302
user_00340,Android budget,Western Europe,349
user_00341,Android mid-range,Eastern Europe,27
user_00342,Android budget,Western Europe,695
user_00343,Android budget,Southeast Asia,71
user_00344,iOS,Southeast Asia,99
user_00345,Android budget,South Asia,424
user_00346,iOS,Western Europe,75
user_00347,Android flagship,Eastern Europe,80
user_00348,Android mid-range,North America,329
user_00349,Android budget,Eastern Europe,1182
user_00350,Android flagship,Latin America,751
user_00351,Android budget,North America,198
user_00352,Android budget,North America,68
user_00353,Android flagship,Eastern Europe,1072
user_00354,Android mid-range,North America,27
user_00355,Android flagship,Latin America,23
user_00356,Android mid-range,North America,9
user_00357,iOS,North America,255
user_00358,Android budget,South Asia,217
user_00359,iOS,Western Europe,991
user_00360,Android budget,North America,19
user_00361,iOS,North America,269
user_00362,Android flagship,Western Europe,5
user_00363,Android mid-range,Southeast Asia,147
user_00364,Android flagship,Eastern Europe,242
user_00365,Android budget,South Asia,10
user_00366,Android flagship,Southeast Asia,238
user_00367,Android budget,North America,249
user_00368,iOS,North America,17
user_00369,Android flagship,Western Europe,200
user_00370,Android budget,Eastern Europe,339
user_00371,iOS,Southeast Asia,29
user_00372,Android budget,Latin America,451
user_00373,iOS,Southeast Asia,62
user_00374,Android flagship,North America,307
user_00375,Android mid-range,Western Europe,118
user_00376,iOS,Western Europe,223
user_00377,iOS,South Asia,98
user_00378,Android mid-range,Latin America,337
user_00379,Android mid-range,Southeast Asia,236
user_00380,Android mid-range,Latin America,116
user_00381,Android flagship,Western Europe,63
user_00382,Android budget,South Asia,698
user_00383,Android mid-range,North America,151
user_00384,Android budget,Western Europe,71
user_00385,Android budget,Latin America,10
user_00386,Android flagship,South Asia,173
user_00387,iOS,Eastern Europe,357
user_00388,Android budget,Western Europe,176
user_00389,Android mid-range,Eastern Europe,1026
user_00390,Android budget,Eastern Europe,279
user_00391,iOS,Southeast Asia,26
user_00392,iOS,Western Europe,21
user_00393,iOS,North America,32
user_00394,iOS,South Asia,19
user_00395,iOS,South Asia,1125
user_00396,iOS,North America,192
user_00397,Android mid-range,Western Europe,37
user_00398,Android flagship,North America,1149
user_00399,Android budget,Latin America,317
user_00400,iOS,Western Europe,25
user_00401,Android mid-range,North America,50
user_00402,iOS,Eastern Europe,37
user_00403,Android flagship,Southeast Asia,234
user_00404,Android budget,Western Europe,453
user_00405,Android mid-range,Southeast Asia,942
user_00406,Android mid-range,North America,1
user_00407,Android budget,Western Europe,302
user_00408,Android budget,North America,298
user_00409,Android budget,Western Europe,197
user_00410,Android budget,North America,8
user_00411,Android mid-range,Western Europe,1
user_00412,Android budget,North America,868
user_00413,Android flagship,Western Europe,156
user_00414,Android budget,North America,822
user_00415,iOS,North America,158
user_00416,Android flagship,Latin America,953
user_00417,iOS,Southeast Asia,76
user_00418,iOS,Latin America,1
user_00419,Android budget,Western Europe,218
user_00420,Android budget,North America,1060
user_00421,Android mid-range,Southeast Asia,1114
user_00422,Android budget,Latin America,470
user_00423,iOS,Latin America,81
user_00424,Android budget,North America,289
user_00425,Android mid-range,Southeast Asia,988
user_00426,Android flagship,Eastern Europe,711
user_00427,iOS,Western Europe,16
user_00428,Android budget,North America,1102
user_00429,Android mid-range,North America,69
user_00430,Android mid-range,Western Europe,100
user_00431,Android budget,North America,60
user_00432,Android flagship,Latin America,289
user_00433,iOS,North America,90
user_00434,Android flagship,Western Europe,0
user_00435,Android budget,Western Europe,15
user_00436,Android flagship,South Asia,33
user_00437,Android mid-range,Western Europe,7
user_00438,Android budget,North America,711
user_00439,Android budget,North America,27
user_00440,Android flagship,Western Europe,68
user_00441,Android flagship,North America,929
user_00442,Android budget,Southeast Asia,17
user_00443,Android mid-range,North America,942
user_00444,Android budget,Southeast Asia,25
user_00445,Android budget,Latin America,1064
user_00446,iOS,North America,371
user_00447,Android budget,Southeast Asia,0
user_00448,Android flagship,Eastern Europe,124
user_00449,Android flagship,Southeast Asia,18
user_00450,Android budget,Latin America,55
user_00451,Android mid-range,Latin America,20
user_00452,iOS,South Asia,73
user_00453,Android flagship,North America,16
user_00454,iOS,Western Europe,571
user_00455,Android budget,North America,12
user_00456,Android budget,Western Europe,9
user_00457,Android flagship,Southeast Asia,396
user_00458,Android flagship,Western Europe,709
user_00459,Android budget,Western Europe,27
user_00460,Android budget,Southeast Asia,318
user_00461,Android budget,North America,56
user_00462,Android mid-range,North America,21
user_00463,Android budget,Eastern Europe,122
user_00464,Android flagship,Southeast Asia,437
user_00465,Android budget,Western Europe,17
user_00466,Android budget,Western Europe,703
user_00467,Android mid-range,Latin America,270
user_00468,Android flagship,Western Europe,34
user_00469,Android flagship,Eastern Europe,50
user_00470,Android budget,North America,377
user_00471,iOS,Eastern Europe,8
user_00472,iOS,Eastern Europe,252
user_00473,iOS,Southeast Asia,1084
user_00474,iOS,South Asia,239
user_00475,iOS,Eastern Europe,332
user_00476,iOS,Southeast Asia,26
user_00477,iOS,North America,327
user_00478,Android flagship,North America,173
user_00479,Android budget,Western Europe,21
user_00480,Android flagship,Western Europe,117
user_00481,Android flagship,South Asia,327
user_00482,Android mid-range,North America,130
user_00483,iOS,Southeast Asia,112
user_00484,Android flagship,South Asia,49
user_00485,Android budget,North America,355
user_00486,Android budget,South Asia,8
user_00487,iOS,Southeast Asia,321
user_00488,iOS,Southeast Asia,59
user_00489,iOS,Eastern Europe,20
user_00490,Android budget,Western Europe,349
user_00491,Android flagship,Western Europe,343
user_00492,Android budget,North America,187
user_00493,Android flagship,Eastern Europe,187
user_00494,iOS,Southeast Asia,237
user_00495,Android flagship,Southeast Asia,200
user_00496,Android mid-range,Eastern Europe,736
user_00497,Android budget,Western Europe,898
user_00498,Android budget,North America,361
user_00499,Android mid-range,Western Europe,328
user_00500,Android mid-range,Eastern Europe,36
user_00501,Android flagship,Western Europe,33
user_00502,Android flagship,North America,19
user_00503,iOS,Eastern Europe,54
user_00504,Android flagship,North America,56
user_00505,iOS,North America,4
user_00506,Android flagship,North America,220
user_00507,iOS,Latin America,77
user_00508,Android mid-range,Latin America,383
user_00509,Android flagship,Southeast Asia,20
user_00510,Android flagship,Latin America,531
user_00511,Android budget,North America,52
user_00512,Android budget,Western Europe,44
user_00513,Android flagship,South Asia,19
user_00514,Android flagship,Latin America,73
user_00515,Android budget,North America,323
user_00516,iOS,North America,321
user_00517,Android budget,Eastern Europe,11
user_00518,Android mid-range,Eastern Europe,0
user_00519,Android budget,Eastern Europe,88
user_00520,Android mid-range,Eastern Europe,44
user_00521,Android mid-range,South Asia,361
user_00522,Android flagship,Western Europe,157
user_00523,Android mid-range,Western Europe,987
user_00524,iOS,Western Europe,50
user_00525,Android flagship,Southeast Asia,78
user_00526,Android budget,Western Europe,193
user_00527,iOS,Western Europe,43
user_00528,Android flagship,Southeast Asia,169
user_00529,iOS,Eastern Europe,1038
user_00530,iOS,Southeast Asia,28
user_00531,Android mid-range,Western Europe,313
user_00532,Android mid-range,South Asia,87
user_00533,Android mid-range,Eastern Europe,577
user_00534,Android flagship,Latin America,125
user_00535,Android flagship,North America,603
user_00536,Android mid-range,North America,31
user_00537,Android mid-range,Western Europe,37
user_00538,Android budget,Eastern Europe,57
user_00539,Android flagship,Southeast Asia,83
user_00540,Android budget,North America,19
user_00541,Android mid-range,Latin America,192
user_00542,Android mid-range,Southeast Asia,5
user_00543,Android budget,Eastern Europe,39
user_00544,Android mid-range,Latin America,1003
user_00545,Android budget,Latin America,612
user_00546,Android mid-range,Eastern Europe,10
user_00547,Android mid-range,North America,468
user_00548,Android budget,Southeast Asia,329
user_00549,Android mid-range,Western Europe,259
user_00550,Android budget,South Asia,201
user_00551,Android budget,Western Europe,10
user_00552,Android budget,Latin America,46
user_00553,iOS,Southeast Asia,229
user_00554,Android mid-range,North America,313
user_00555,Android flagship,Southeast Asia,1
user_00556,Android mid-range,North America,66
user_00557,Android budget,Western Europe,23
user_00558,Android budget,Eastern Europe,32
user_00559,Android mid-range,North America,90
user_00560,Android mid-range,North America,5
user_00561,Android budget,North America,469
user_00562,iOS,North America,880
user_00563,iOS,Eastern Europe,1031
user_00564,Android mid-range,Eastern Europe,23
user_00565,Android flagship,Eastern Europe,295
user_00566,iOS,Eastern Europe,116
user_00567,Android budget,North America,178
user_00568,iOS,Latin America,122
user_00569,Android budget,Eastern Europe,184
user_00570,Android flagship,North America,1028
user_00571,Android mid-range,Latin America,307
user_00572,Android flagship,Western Europe,28
user_00573,Android budget,Southeast Asia,330
user_00574,Android budget,Western Europe,32
user_00575,Android flagship,South Asia,138
user_00576,Android budget,Western Europe,568
user_00577,Android budget,Latin America,249
user_00578,iOS,Eastern Europe,7
user_00579,Android flagship,North America,1111
user_00580,Android budget,Western Europe,2
user_00581,iOS,Southeast Asia,195
user_00582,Android flagship,North America,308
user_00583,Android mid-range,North America,213
user_00584,Android mid-range,Eastern Europe,880
user_00585,Android flagship,North America,76
user_00586,Android flagship,Western Europe,458
user_00587,Android flagship,Latin America,518
user_00588,iOS,Southeast Asia,3
user_00589,iOS,North America,1033
user_00590,Android budget,Western Europe,17
user_00591,Android mid-range,South Asia,1143
user_00592,Android budget,North America,61
user_00593,Android budget,Southeast Asia,182
user_00594,Android budget,Latin America,244
user_00595,Android mid-range,Western Europe,185
user_00596,Android flagship,Latin America,233
user_00597,Android budget,Southeast Asia,9
user_00598,iOS,Southeast Asia,475
user_00599,Android budget,Southeast Asia,901
user_00600,Android flagship,Western Europe,58
user_00601,Android mid-range,Western Europe,17
user_00602,iOS,Eastern Europe,300
user_00603,Android mid-range,Southeast Asia,15
user_00604,Android mid-range,North America,48
user_00605,iOS,Western Europe,32
user_00606,Android budget,Eastern Europe,880
user_00607,Android flagship,Eastern Europe,88
user_00608,Android budget,Eastern Europe,63
user_00609,Android mid-range,Eastern Europe,435
user_00610,Android mid-range,North America,174
user_00611,Android mid-range,Western Europe,3
user_00612,Android mid-range,Southeast Asia,66
user_00613,Android budget,Western Europe,67
user_00614,Android budget,Eastern Europe,21
user_00615,Android budget,North America,825
user_00616,Android mid-range,Western Europe,49
user_00617,iOS,Western Europe,349
user_00618,Android flagship,Eastern Europe,138
user_00619,iOS,Western Europe,83
user_00620,Android mid-range,Western Europe,31
user_00621,Android mid-range,North America,7
user_00622,Android budget,South Asia,1020
user_00623,Android budget,Southeast Asia,106
user_00624,Android budget,North America,4
user_00625,iOS,Southeast Asia,283
user_00626,iOS,Western Europe,15
user_00627,Android budget,Southeast Asia,51
user_00628,Android flagship,North America,13
user_00629,Android mid-range,North America,864
user_00630,Android flagship,Southeast Asia,78
user_00631,iOS,Western Europe,0
user_00632,Android flagship,Western Europe,110
user_00633,Android budget,Latin America,315
user_00634,Android budget,Latin America,14
user_00635,Android mid-range,Southeast Asia,151
user_00636,Android budget,Western Europe,1030
user_00637,Android budget,North America,23
user_00638,Android flagship,Latin America,475
user_00639,iOS,Latin America,1
user_00640,iOS,North America,88
user_00641,iOS,Southeast Asia,935
user_00642,iOS,Western Europe,102
user_00643,iOS,Western Europe,17
user_00644,iOS,Southeast Asia,315
user_00645,Android budget,Southeast Asia,271
user_00646,Android budget,Western Europe,378
user_00647,Android budget,Western Europe,781
user_00648,iOS,Southeast Asia,180
user_00649,Android budget,Eastern Europe,295
user_00650,iOS,Eastern Europe,11
user_00651,Android flagship,North America,165
user_00652,Android mid-range,South Asia,63
user_00653,iOS,North America,264
user_00654,Android flagship,Southeast Asia,1120
user_00655,Android flagship,Western Europe,1
user_00656,Android flagship,North America,84
user_00657,Android budget,Southeast Asia,73
user_00658,Android mid-range,North America,664
user_00659,Android budget,Southeast Asia,69
user_00660,Android mid-range,North America,8
user_00661,iOS,South Asia,274
user_00662,Android budget,North America,66
user_00663,Android budget,Western Europe,11
user_00664,Android mid-range,Western Europe,264
user_00665,Android mid-range,North America,66
user_00666,Android budget,Southeast Asia,75
user_00667,Android mid-range,North America,559
user_00668,Android flagship,Western Europe,26
user_00669,iOS,Eastern Europe,34
user_00670,Android budget,Southeast Asia,194
user_00671,iOS,Latin America,429
user_00672,Android mid-range,Southeast Asia,98
user_00673,iOS,Western Europe,113
user_00674,Android flagship,Latin America,199
user_00675,Android budget,North America,353
user_00676,Android budget,Eastern Europe,1101
user_00677,Android mid-range,Western Europe,19
user_00678,iOS,Western Europe,83
user_00679,Android mid-range,South Asia,125
user_00680,Android budget,Western Europe,54
user_00681,Android mid-range,Western Europe,30
user_00682,Android mid-range,North America,330
user_00683,Android flagship,North America,37
user_00684,Android budget,Western Europe,0
user_00685,iOS,North America,64
user_00686,Android budget,North America,1141
user_00687,Android mid-range,North America,871
user_00688,Android flagship,Southeast Asia,27
user_00689,Android flagship,North America,214
user_00690,iOS,Southeast Asia,873
user_00691,Android mid-range,North America,827
user_00692,iOS,Latin America,419
user_00693,Android mid-range,North America,25
user_00694,iOS,Western Europe,167
user_00695,Android flagship,Southeast Asia,545
user_00696,iOS,Western Europe,1191
user_00697,Android budget,South Asia,11
user_00698,Android budget,North America,221
user_00699,Android budget,Eastern Europe,141
user_00700,iOS,Western Europe,24
user_00701,Android budget,Eastern Europe,277
user_00702,Android budget,Western Europe,311
user_00703,Android budget,Western Europe,579
user_00704,Android mid-range,Latin America,8
user_00705,iOS,Eastern Europe,58
user_00706,Android budget,North America,239
user_00707,Android budget,Western Europe,87
user_00708,Android flagship,Latin America,136
user_00709,Android flagship,Latin America,1163
user_00710,iOS,Southeast Asia,90
user_00711,iOS,Latin America,540
user_00712,Android flagship,Southeast Asia,9
user_00713,Android flagship,Latin America,76
user_00714,Android flagship,Western Europe,16
user_00715,iOS,North America,14
user_00716,Android flagship,North America,52
user_00717,Android budget,South Asia,336
user_00718,iOS,Western Europe,274
user_00719,iOS,North America,85
user_00720,Android budget,Western Europe,256
user_00721,iOS,Western Europe,14
user_00722,Android budget,Eastern Europe,824
user_00723,Android budget,South Asia,3
user_00724,iOS,Southeast Asia,27
user_00725,Android flagship,North America,1031
user_00726,Android flagship,North America,117
user_00727,iOS,Southeast Asia,198
user_00728,Android flagship,Southeast Asia,84
user_00729,Android budget,Southeast Asia,318
user_00730,Android budget,North America,50
user_00731,iOS,Latin America,51
user_00732,iOS,North America,50
user_00733,Android mid-range,North America,96
user_00734,Android mid-range,Southeast Asia,1018
user_00735,iOS,North America,1045
user_00736,Android budget,Southeast Asia,788
user_00737,Android flagship,Southeast Asia,11
user_00738,Android budget,Western Europe,355
user_00739,Android flagship,South Asia,32
user_00740,Android budget,Southeast Asia,26
user_00741,Android budget,Eastern Europe,67
user_00742,Android flagship,North America,13
user_00743,Android mid-range,North America,451
user_00744,Android flagship,Southeast Asia,35
user_00745,Android budget,North America,74
user_00746,iOS,South Asia,546
user_00747,Android budget,Latin America,64
user_00748,Android mid-range,Western Europe,45
user_00749,Android flagship,Latin America,8
user_00750,Android budget,Southeast Asia,245
user_00751,iOS,North America,10
user_00752,Android flagship,Western Europe,835
user_00753,iOS,Southeast Asia,120
user_00754,iOS,North America,647
user_00755,Android budget,Southeast Asia,77
user_00756,Android flagship,Western Europe,11
user_00757,Android budget,Eastern Europe,12
user_00758,Android budget,Latin America,1063
user_00759,Android mid-range,North America,18
user_00760,Android budget,North America,359
user_00761,Android budget,North America,869
user_00762,Android budget,Western Europe,1106
user_00763,Android budget,Southeast Asia,1
user_00764,Android flagship,North America,76
user_00765,Android flagship,North America,697
user_00766,Android budget,North America,53
user_00767,Android mid-range,North America,71
user_00768,Android mid-range,North America,25
user_00769,Android budget,North America,15
user_00770,Android flagship,North America,387
user_00771,Android budget,North America,592
user_00772,iOS,Southeast Asia,307
